"game_id","game","game_time","player","market","prop_type","line","odds_decimal","bookmaker","timestamp"
"0fee871b4f5cc68f4c933d5eb56d25c8","New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","points","player_points","Under","13.5","1.76","FanDuel","2026-03-31 10:55:31"
"0fee871b4f5cc68f4c933d5eb56d25c8","New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","points","player_points","Over","25.5","1.88","FanDuel","2026-03-31 10:55:31"
"0fee871b4f5cc68f4c933d5eb56d25c8","New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","points","player_points","Under","25.5","1.85","FanDuel","2026-03-31 10:55:31"
"0fee871b4f5cc68f4c933d5eb56d25c8","New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","points","player_points","Over","13.5","1.89","FanDuel","2026-03-31 10:55:31"
"0fee871b4f5cc68f4c933d5eb56d25c8","New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","points","player_points","Under","13.5","1.85","FanDuel","2026-03-31 10:55:31"
"0fee871b4f5cc68f4c933d5eb56d25c8","New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","rebounds","player_rebounds","Over","3.5","2.16","FanDuel","2026-03-31 10:55:31"
"0fee871b4f5cc68f4c933d5eb56d25c8","New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","rebounds","player_rebounds","Under","3.5","1.65","FanDuel","2026-03-31 10:55:31"
"0fee871b4f5cc68f4c933d5eb56d25c8","New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","rebounds","player_rebounds","Over","7.5","1.85","FanDuel","2026-03-31 10:55:31"
"0fee871b4f5cc68f4c933d5eb56d25c8","New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","rebounds","player_rebounds","Under","7.5","1.89","FanDuel","2026-03-31 10:55:31"
"0fee871b4f5cc68f4c933d5eb56d25c8","New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","rebounds","player_rebounds","Over","7.5","1.85","FanDuel","2026-03-31 10:55:31"
"0fee871b4f5cc68f4c933d5eb56d25c8","New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","rebounds","player_rebounds","Under","7.5","1.89","FanDuel","2026-03-31 10:55:31"
"0fee871b4f5cc68f4c933d5eb56d25c8","New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","rebounds","player_rebounds","Over","6.5","1.78","FanDuel","2026-03-31 10:55:31"
"0fee871b4f5cc68f4c933d5eb56d25c8","New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","rebounds","player_rebounds","Under","6.5","1.96","FanDuel","2026-03-31 10:55:31"
