"Game","GameTime","Player","PropType","MarketType","Line","Odds","Bookmaker","Timestamp"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Mitchell Robinson","player_rebounds","Under","7.5","1.89","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Amen Thompson","player_rebounds","Over","7.5","1.85","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Amen Thompson","player_rebounds","Under","7.5","1.89","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Jabari Smith Jr","player_rebounds","Over","6.5","1.78","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Jabari Smith Jr","player_rebounds","Under","6.5","1.96","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Josh Hart","player_rebounds","Over","6.5","1.74","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Josh Hart","player_rebounds","Under","6.5","2.02","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Tari Eason","player_rebounds","Over","5.5","2.1","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Tari Eason","player_rebounds","Under","5.5","1.68","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Mikal Bridges","player_rebounds","Over","3.5","2.42","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Mikal Bridges","player_rebounds","Under","3.5","1.52","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","OG Anunoby","player_rebounds","Over","4.5","2.02","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","OG Anunoby","player_rebounds","Under","4.5","1.74","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Karl-Anthony Towns","player_rebounds","Over","10.5","1.8","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Karl-Anthony Towns","player_rebounds","Under","10.5","1.94","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Jalen Brunson","player_rebounds","Over","2.5","1.74","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Jalen Brunson","player_rebounds","Under","2.5","2.02","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Alperen Sengun","player_rebounds","Over","8.5","1.88","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Alperen Sengun","player_rebounds","Under","8.5","1.88","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Kevin Durant","player_rebounds","Over","4.5","1.68","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Kevin Durant","player_rebounds","Under","4.5","2.1","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","OG Anunoby","player_steals","Over","1.5","2.08","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","OG Anunoby","player_steals","Under","1.5","1.69","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Amen Thompson","player_steals","Over","1.5","2.0","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Amen Thompson","player_steals","Under","1.5","1.76","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Mikal Bridges","player_steals","Over","1.5","2.78","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Mikal Bridges","player_steals","Under","1.5","1.41","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Reed Sheppard","player_steals","Over","1.5","2.0","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Reed Sheppard","player_steals","Under","1.5","1.76","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Reed Sheppard","player_threes","Over","3.5","2.3","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Reed Sheppard","player_threes","Under","3.5","1.57","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Jalen Brunson","player_threes","Over","1.5","1.52","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Jalen Brunson","player_threes","Under","1.5","2.44","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Kevin Durant","player_threes","Over","2.5","2.16","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Kevin Durant","player_threes","Under","2.5","1.65","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Tari Eason","player_threes","Over","1.5","2.78","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Tari Eason","player_threes","Under","1.5","1.41","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Mikal Bridges","player_threes","Over","1.5","1.76","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Mikal Bridges","player_threes","Under","1.5","2.0","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Karl-Anthony Towns","player_threes","Over","1.5","2.58","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Karl-Anthony Towns","player_threes","Under","1.5","1.45","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","OG Anunoby","player_threes","Over","2.5","2.18","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","OG Anunoby","player_threes","Under","2.5","1.63","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Josh Hart","player_threes","Over","1.5","2.24","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Josh Hart","player_threes","Under","1.5","1.6","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Jabari Smith Jr","player_threes","Over","1.5","1.5","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Jabari Smith Jr","player_threes","Under","1.5","2.48","FanDuel","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Jalen Brunson","player_assists","Over","6.5","2.11","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Jalen Brunson","player_assists","Under","6.5","1.68","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Alperen Sengun","player_assists","Over","5.5","1.92","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Alperen Sengun","player_assists","Under","5.5","1.83","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Kevin Durant","player_assists","Over","4.5","1.71","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Kevin Durant","player_assists","Under","4.5","2.07","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Amen Thompson","player_assists","Over","4.5","1.76","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Amen Thompson","player_assists","Under","4.5","1.99","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Josh Hart","player_assists","Over","4.5","2.09","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Josh Hart","player_assists","Under","4.5","1.69","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Reed Sheppard","player_assists","Over","3.5","1.64","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Reed Sheppard","player_assists","Under","3.5","2.19","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Mikal Bridges","player_assists","Over","3.5","2.25","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Mikal Bridges","player_assists","Under","3.5","1.61","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","OG Anunoby","player_assists","Over","2.5","2.26","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","OG Anunoby","player_assists","Under","2.5","1.6","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Karl-Anthony Towns","player_assists","Over","2.5","2.39","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Karl-Anthony Towns","player_assists","Under","2.5","1.54","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Kevin Durant","player_points","Over","26.5","1.94","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Kevin Durant","player_points","Under","26.5","1.83","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Jalen Brunson","player_points","Over","25.5","1.96","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Jalen Brunson","player_points","Under","25.5","1.81","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Alperen Sengun","player_points","Over","19.5","1.98","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Alperen Sengun","player_points","Under","19.5","1.79","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Karl-Anthony Towns","player_points","Over","18.5","1.88","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Karl-Anthony Towns","player_points","Under","18.5","1.88","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Amen Thompson","player_points","Over","15.5","1.93","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Amen Thompson","player_points","Under","15.5","1.85","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","OG Anunoby","player_points","Over","15.5","1.93","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","OG Anunoby","player_points","Under","15.5","1.84","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Jabari Smith Jr","player_points","Over","14.5","1.98","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Jabari Smith Jr","player_points","Under","14.5","1.8","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Reed Sheppard","player_points","Over","13.5","1.98","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Reed Sheppard","player_points","Under","13.5","1.79","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Mikal Bridges","player_points","Over","12.5","1.87","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Mikal Bridges","player_points","Under","12.5","1.9","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Josh Hart","player_points","Over","12.5","1.89","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Josh Hart","player_points","Under","12.5","1.88","DraftKings","2026-03-31 11:24:25"
"New York Knicks @ Houston Rockets","2026-04-01T00:10:00Z","Tari Eason","player_points","Over","8.5","1.98","DraftKings","2026-03-31 11:24:25"
