
> dfs-optimizer@1.0.0 agent
> powershell -NoProfile -ExecutionPolicy Bypass -File scripts/run_optimizer.ps1 -Force

[TOKEN WARNING] Single run estimated at 117.00 tokens (> 15).
[Monte Carlo] UD EV discrepancy for 3P: cardEv=1.3544 monteCarloEV=1.4852 diff=0.1308
[Monte Carlo] UD EV discrepancy for 3P: cardEv=1.3470 monteCarloEV=1.1070 diff=0.2400
[Monte Carlo] UD EV discrepancy for 3P: cardEv=1.3470 monteCarloEV=1.0609 diff=0.2861
[Monte Carlo] UD EV discrepancy for 2P: cardEv=0.8912 monteCarloEV=0.5823 diff=0.3089
[Monte Carlo] UD EV discrepancy for 2P: cardEv=0.8912 monteCarloEV=0.5518 diff=0.3394
[Monte Carlo] UD EV discrepancy for 2P: cardEv=0.8912 monteCarloEV=0.4048 diff=0.4863
[Monte Carlo] UD EV discrepancy for 2P: cardEv=0.8912 monteCarloEV=0.3979 diff=0.4933
[Monte Carlo] UD EV discrepancy for 3P: cardEv=1.3328 monteCarloEV=1.0713 diff=0.2614
[Monte Carlo] UD EV discrepancy for 4P: cardEv=1.7754 monteCarloEV=1.7058 diff=0.0696
[Monte Carlo] UD EV discrepancy for 4P: cardEv=1.7754 monteCarloEV=1.4750 diff=0.3004
[Monte Carlo] UD EV discrepancy for 2P: cardEv=0.8876 monteCarloEV=0.3519 diff=0.5357
[Monte Carlo] UD EV discrepancy for 3P: cardEv=1.3203 monteCarloEV=1.0303 diff=0.2900
[Monte Carlo] UD EV discrepancy for 5F: cardEv=2.1791 monteCarloEV=1.9442 diff=0.2348
[Monte Carlo] UD EV discrepancy for 2P: cardEv=0.8696 monteCarloEV=0.5284 diff=0.3413
[Monte Carlo] UD EV discrepancy for 2P: cardEv=0.8696 monteCarloEV=0.4506 diff=0.4191
[Monte Carlo] UD EV discrepancy for 4P: cardEv=1.7183 monteCarloEV=1.5944 diff=0.1239
[Monte Carlo] UD EV discrepancy for 3P: cardEv=1.2797 monteCarloEV=0.8790 diff=0.4008
[Monte Carlo] UD EV discrepancy for 2P: cardEv=0.8488 monteCarloEV=0.4282 diff=0.4206
[Monte Carlo] UD EV discrepancy for 3P: cardEv=1.2726 monteCarloEV=1.1461 diff=0.1265
[Monte Carlo] UD EV discrepancy for 4P: cardEv=1.6873 monteCarloEV=1.8302 diff=0.1429
[Monte Carlo] UD EV discrepancy for 2P: cardEv=0.8370 monteCarloEV=0.4381 diff=0.3989
[Monte Carlo] UD EV discrepancy for 2P: cardEv=0.8370 monteCarloEV=0.2919 diff=0.5451
[Monte Carlo] UD EV discrepancy for 2P: cardEv=0.8370 monteCarloEV=0.2956 diff=0.5414
[Monte Carlo] UD EV discrepancy for 2P: cardEv=0.8312 monteCarloEV=0.6172 diff=0.2140
[Monte Carlo] UD EV discrepancy for 2P: cardEv=0.8312 monteCarloEV=0.5314 diff=0.2998
[Monte Carlo] UD EV discrepancy for 3P: cardEv=1.2310 monteCarloEV=1.1450 diff=0.0860
[Monte Carlo] UD EV discrepancy for 3P: cardEv=1.2310 monteCarloEV=1.0570 diff=0.1740
[Monte Carlo] UD EV discrepancy for 2P: cardEv=0.7977 monteCarloEV=0.5763 diff=0.2214
[Monte Carlo] UD EV discrepancy for 2P: cardEv=0.7977 monteCarloEV=0.5521 diff=0.2456
[Monte Carlo] UD EV discrepancy for 2P: cardEv=0.7977 monteCarloEV=0.4043 diff=0.3934
[Monte Carlo] UD EV discrepancy for 2P: cardEv=0.7977 monteCarloEV=0.3948 diff=0.4029
[Monte Carlo] UD EV discrepancy for 3P: cardEv=1.1730 monteCarloEV=0.8896 diff=0.2834
[Monte Carlo] UD EV discrepancy for 3P: cardEv=1.1730 monteCarloEV=0.8997 diff=0.2733
[Monte Carlo] UD EV discrepancy for 2P: cardEv=0.7608 monteCarloEV=0.6682 diff=0.0925
[Monte Carlo] UD EV discrepancy for 2P: cardEv=0.7608 monteCarloEV=0.4583 diff=0.3025
[Monte Carlo] UD EV discrepancy for 2P: cardEv=0.7608 monteCarloEV=0.4654 diff=0.2953
[Monte Carlo] UD EV discrepancy for 2P: cardEv=0.7552 monteCarloEV=0.2388 diff=0.5165
[Monte Carlo] UD EV discrepancy for 4F: cardEv=1.4873 monteCarloEV=1.2733 diff=0.2140
[Monte Carlo] UD EV discrepancy for 3P: cardEv=1.1107 monteCarloEV=0.7144 diff=0.3963
[Monte Carlo] UD EV discrepancy for 3P: cardEv=1.1041 monteCarloEV=0.9336 diff=0.1705
[Monte Carlo] UD EV discrepancy for 3P: cardEv=1.0656 monteCarloEV=0.9022 diff=0.1634
[Monte Carlo] UD EV discrepancy for 3P: cardEv=1.0656 monteCarloEV=0.8624 diff=0.2032
[Monte Carlo] UD EV discrepancy for 2P: cardEv=0.7049 monteCarloEV=0.1486 diff=0.5563
[Monte Carlo] UD EV discrepancy for 3F: cardEv=1.0170 monteCarloEV=0.3497 diff=0.6673
[Monte Carlo] UD EV discrepancy for 2P: cardEv=0.6685 monteCarloEV=0.2591 diff=0.4094
[Monte Carlo] UD EV discrepancy for 2P: cardEv=0.6342 monteCarloEV=0.3187 diff=0.3155
[Monte Carlo] UD EV discrepancy for 3F: cardEv=0.9410 monteCarloEV=0.4836 diff=0.4574
[Monte Carlo] UD EV discrepancy for 3F: cardEv=0.9406 monteCarloEV=0.5879 diff=0.3527
[Monte Carlo] UD EV discrepancy for 3F: cardEv=0.9406 monteCarloEV=0.5692 diff=0.3714
[Monte Carlo] UD EV discrepancy for 2P: cardEv=0.6251 monteCarloEV=0.1362 diff=0.4890
[Monte Carlo] UD EV discrepancy for 3F: cardEv=0.9225 monteCarloEV=0.6266 diff=0.2959
[Monte Carlo] UD EV discrepancy for 3F: cardEv=0.9225 monteCarloEV=0.5551 diff=0.3674
[Monte Carlo] UD EV discrepancy for 3F: cardEv=0.9221 monteCarloEV=0.6600 diff=0.2621
[Monte Carlo] UD EV discrepancy for 3F: cardEv=0.9221 monteCarloEV=0.6278 diff=0.2944
[Monte Carlo] UD EV discrepancy for 3F: cardEv=0.9191 monteCarloEV=0.4444 diff=0.4747
[Monte Carlo] UD EV discrepancy for 3F: cardEv=0.9191 monteCarloEV=0.4255 diff=0.4936
[Monte Carlo] UD EV discrepancy for 3F: cardEv=0.9169 monteCarloEV=0.3491 diff=0.5679
[Monte Carlo] UD EV discrepancy for 2P: cardEv=0.5785 monteCarloEV=0.0546 diff=0.5239
[Monte Carlo] UD EV discrepancy for 3F: cardEv=0.8486 monteCarloEV=0.5227 diff=0.3259
[Monte Carlo] UD EV discrepancy for 3F: cardEv=0.8486 monteCarloEV=0.5243 diff=0.3243
[Monte Carlo] UD EV discrepancy for 3F: cardEv=0.8482 monteCarloEV=0.7334 diff=0.1148
[Monte Carlo] UD EV discrepancy for 3F: cardEv=0.8482 monteCarloEV=0.6250 diff=0.2232
[Monte Carlo] UD EV discrepancy for 3F: cardEv=0.8482 monteCarloEV=0.6119 diff=0.2363
[Monte Carlo] UD EV discrepancy for 3F: cardEv=0.8482 monteCarloEV=0.6011 diff=0.2471
[Monte Carlo] UD EV discrepancy for 3F: cardEv=0.8482 monteCarloEV=0.5912 diff=0.2570
[Monte Carlo] UD EV discrepancy for 3F: cardEv=0.8463 monteCarloEV=0.4898 diff=0.3566
[Monte Carlo] UD EV discrepancy for 3F: cardEv=0.8443 monteCarloEV=0.5952 diff=0.2491
[Monte Carlo] UD EV discrepancy for 3F: cardEv=0.8443 monteCarloEV=0.5692 diff=0.2751
[Monte Carlo] UD EV discrepancy for 3F: cardEv=0.8268 monteCarloEV=0.7241 diff=0.1026
[Monte Carlo] UD EV discrepancy for 3F: cardEv=0.8268 monteCarloEV=0.6590 diff=0.1677
[Monte Carlo] UD EV discrepancy for 3F: cardEv=0.8268 monteCarloEV=0.6935 diff=0.1332
[Monte Carlo] UD EV discrepancy for 3F: cardEv=0.8268 monteCarloEV=0.6260 diff=0.2007
