site,player,stat,line,sport,matched,reason,bestOddsLine,bestOddsPlayerNorm,matchType,altDelta
prizepicks,Anthony Edwards,points,29.5,NBA,Y,ok,29.5,anthony edwards,main,0.00
prizepicks,Paolo Banchero,pra,40,NBA,Y,ok,40,paolo banchero,main,0.00
prizepicks,Paolo Banchero,points_rebounds,34.5,NBA,Y,ok,34.5,paolo banchero,main,0.00
prizepicks,Desmond Bane,pra,30.5,NBA,Y,ok,31,desmond bane,main,0.00
prizepicks,Paolo Banchero,points_assists,30.5,NBA,Y,ok,30.5,paolo banchero,main,0.00
prizepicks,Desmond Bane,points_assists,26.5,NBA,Y,ok,26.5,desmond bane,main,0.00
prizepicks,Desmond Bane,points_rebounds,26.5,NBA,Y,ok,26.5,desmond bane,main,0.00
prizepicks,Paolo Banchero,points,24,NBA,N,line_diff,25.5,paolo banchero,,
prizepicks,Jalen Suggs,pra,23.5,NBA,Y,ok,23,jalen suggs,main,0.00
prizepicks,Will Riley,pra,22.5,NBA,N,no_candidate,,,,
prizepicks,Desmond Bane,points,21.5,NBA,Y,ok,21.5,desmond bane,main,0.00
prizepicks,Justin Champagnie,pra,20.5,NBA,Y,ok,20,justin champagnie,main,0.00
prizepicks,Jalen Suggs,points_assists,19.5,NBA,Y,ok,19.5,jalen suggs,main,0.00
prizepicks,Bub Carrington,pra,19.5,NBA,Y,ok,19,bub carrington,main,0.00
prizepicks,Will Riley,points_rebounds,19.5,NBA,Y,ok,19.5,will riley,main,0.00
prizepicks,Tristan Silva,pra,19.5,NBA,N,no_candidate,,,,
prizepicks,Tre Johnson,pra,18.5,NBA,Y,ok,18,tre johnson,main,0.00
prizepicks,Jalen Suggs,points_rebounds,18,NBA,Y,ok,17.5,jalen suggs,main,0.00
prizepicks,Justin Champagnie,points_rebounds,18,NBA,N,line_diff,19.5,justin champagnie,,
prizepicks,Bilal Coulibaly,pra,17.5,NBA,N,no_candidate,,,,
