pick_player_key,suggested_sgo_form,occurrence_count,action
"karl-anthony towns","tyrese maxey",8,ADD_TO_ALIASES
"de'anthony melton","",9,ABSENT_FROM_ODDS_NO_FIX
"de'aaron fox","",9,ABSENT_FROM_ODDS_NO_FIX
"ace bailey","",8,ABSENT_FROM_ODDS_NO_FIX
"will riley","",5,ABSENT_FROM_ODDS_NO_FIX
"juju reese","",5,ABSENT_FROM_ODDS_NO_FIX
"ron harper jr.","",5,ABSENT_FROM_ODDS_NO_FIX
"landry shamet","",5,ABSENT_FROM_ODDS_NO_FIX
"dylan harper","",5,ABSENT_FROM_ODDS_NO_FIX
"quentin grimes","",5,ABSENT_FROM_ODDS_NO_FIX
"justin champagnie","",4,ABSENT_FROM_ODDS_NO_FIX
"jonas valanciunas","",4,ABSENT_FROM_ODDS_NO_FIX
"mitchell robinson","",4,ABSENT_FROM_ODDS_NO_FIX
"jamal shead","",4,ABSENT_FROM_ODDS_NO_FIX
"ja'kobe walter","",4,ABSENT_FROM_ODDS_NO_FIX
"harrison barnes","",4,ABSENT_FROM_ODDS_NO_FIX
"keldon johnson","",4,ABSENT_FROM_ODDS_NO_FIX
"adem bona","",4,ABSENT_FROM_ODDS_NO_FIX
"luke kornet","",4,ABSENT_FROM_ODDS_NO_FIX
"josh okogie","",3,ABSENT_FROM_ODDS_NO_FIX
"dorian finney-smith","",2,ABSENT_FROM_ODDS_NO_FIX
"bilal coulibaly","",2,ABSENT_FROM_ODDS_NO_FIX
"tre johnson","",2,ABSENT_FROM_ODDS_NO_FIX
"cam thomas","",2,ABSENT_FROM_ODDS_NO_FIX
"julian strawther","",2,ABSENT_FROM_ODDS_NO_FIX
"scottie barnes","",2,ABSENT_FROM_ODDS_NO_FIX
"kelly oubre","",2,ABSENT_FROM_ODDS_NO_FIX
"alperen sengun","",1,ABSENT_FROM_ODDS_NO_FIX
"reed sheppard","",1,ABSENT_FROM_ODDS_NO_FIX
"amen thompson","",1,ABSENT_FROM_ODDS_NO_FIX
"tari eason","",1,ABSENT_FROM_ODDS_NO_FIX
