Player,TotalProps,Matched,Match%,no_candidate,line_diff,juice,StatTypes,Notes
Victor Wembanyama,17,2,12%,0,15,0,points|rebounds|assists|blocks,ALT_LINES_DOMINANT
Luka Doncic,17,4,24%,0,13,0,points|rebounds|assists|steals,ALT_LINES_DOMINANT
Cade Cunningham,16,4,25%,0,12,0,points|rebounds|assists|steals,ALT_LINES_DOMINANT
LaMelo Ball,16,3,19%,1,12,0,points|rebounds|assists|steals,ALT_LINES_DOMINANT
Bam Adebayo,16,1,6%,0,14,1,points|rebounds|assists|steals,ALT_LINES_DOMINANT
Tyrese Maxey,16,3,19%,0,13,0,points|rebounds|assists|steals,ALT_LINES_DOMINANT
James Harden,15,2,13%,1,12,0,points|rebounds|assists|steals,ALT_LINES_DOMINANT
Brandon Miller,15,3,20%,0,12,0,points|rebounds|assists,ALT_LINES_DOMINANT
LeBron James,15,2,13%,1,12,0,points|rebounds|assists|steals,ALT_LINES_DOMINANT
Jalen Brunson,14,2,14%,0,12,0,points|rebounds|assists,ALT_LINES_DOMINANT
Michael Porter Jr.,14,1,7%,0,13,0,points|rebounds|assists,ALT_LINES_DOMINANT
Devin Booker,14,3,21%,0,11,0,points|rebounds|assists,ALT_LINES_DOMINANT
Brandon Ingram,13,3,23%,0,10,0,points|rebounds|assists,ALT_LINES_DOMINANT
Tyler Herro,13,3,23%,0,10,0,points|rebounds|assists,ALT_LINES_DOMINANT
Chet Holmgren,13,3,23%,0,10,0,points|rebounds|assists|blocks,ALT_LINES_DOMINANT
Evan Mobley,12,3,25%,0,9,0,points|rebounds|assists|blocks,ALT_LINES_DOMINANT
Kon Knueppel,12,3,25%,0,9,0,points|rebounds|assists,ALT_LINES_DOMINANT
Scottie Barnes,12,4,33%,1,7,0,points|rebounds|assists|steals|blocks,ALT_LINES_DOMINANT
Karl-Anthony Towns,12,0,0%,12,0,0,points|rebounds|assists,ABSENT_FROM_ODDS
Immanuel Quickley,12,3,25%,0,8,1,points|rebounds|assists|steals,ALT_LINES_DOMINANT
Anthony Edwards,12,3,25%,0,9,0,points|rebounds|assists|steals,ALT_LINES_DOMINANT
Austin Reaves,12,2,17%,1,9,0,points|rebounds|assists|steals,ALT_LINES_DOMINANT
Trey Murphy III,12,2,17%,0,9,1,points|rebounds|assists|steals,ALT_LINES_DOMINANT
Jalen Green,12,2,17%,1,9,0,points|rebounds|assists|steals,ALT_LINES_DOMINANT
Grayson Allen,12,2,17%,0,9,1,points|rebounds|assists|steals,ALT_LINES_DOMINANT
Jalen Duren,11,2,18%,0,9,0,points|rebounds|assists,ALT_LINES_DOMINANT
Desmond Bane,11,2,18%,0,8,1,points|rebounds|assists|steals,ALT_LINES_DOMINANT
RJ Barrett,11,3,27%,0,8,0,points|rebounds|assists,ALT_LINES_DOMINANT
De'Aaron Fox,11,0,0%,11,0,0,points|rebounds|assists,ABSENT_FROM_ODDS
Stephon Castle,11,3,27%,0,7,1,points|rebounds|assists|steals,ALT_LINES_DOMINANT
Josh Giddey,11,0,0%,0,11,0,points|rebounds|assists,ok
Matas Buzelis,11,4,36%,0,7,0,points|rebounds|assists|blocks,ALT_LINES_DOMINANT
Jarrett Allen,10,2,20%,2,6,0,points|rebounds|assists|blocks,ALT_LINES_DOMINANT
Andrew Wiggins,10,1,10%,1,8,0,points|rebounds|assists|steals,ALT_LINES_DOMINANT
Julius Randle,10,2,20%,0,8,0,points|rebounds|assists,ALT_LINES_DOMINANT
Collin Gillespie,10,3,30%,0,7,0,points|rebounds|assists,ALT_LINES_DOMINANT
Paolo Banchero,9,2,22%,0,7,0,points|rebounds|assists,ALT_LINES_DOMINANT
Jalen Suggs,9,3,33%,0,6,0,points|rebounds|assists|steals,ALT_LINES_DOMINANT
Cason Wallace,9,2,22%,0,7,0,points|rebounds|assists|steals,ALT_LINES_DOMINANT
Donte DiVincenzo,9,3,33%,0,6,0,points|rebounds|assists|steals,ALT_LINES_DOMINANT
Jaden McDaniels,9,2,22%,0,7,0,points|rebounds|assists,ALT_LINES_DOMINANT
Naz Reid,9,2,22%,1,6,0,points|rebounds|assists|steals,ALT_LINES_DOMINANT
Ty Jerome,9,2,22%,0,7,0,points|rebounds|assists,ALT_LINES_DOMINANT
Dejounte Murray,9,4,44%,0,5,0,points|rebounds|assists|steals,ok
Miles Bridges,8,3,38%,0,5,0,points|rebounds|assists,ok
Brandon Williams,8,3,38%,0,5,0,points|rebounds|assists,ok
OG Anunoby,8,4,50%,0,4,0,points|rebounds|assists|steals,ok
Jaime Jaquez Jr.,8,2,25%,0,6,0,points|rebounds|assists,ALT_LINES_DOMINANT
Isaiah Joe,8,3,38%,0,4,1,points|rebounds|assists|steals,ok
Zion Williamson,8,3,38%,0,5,0,points|rebounds|assists,ok
Russell Westbrook,8,3,38%,0,5,0,points|rebounds|assists,ok
Nique Clifford,8,4,50%,0,4,0,points|rebounds|assists|steals,ok
Max Christie,7,3,43%,0,4,0,points|rebounds|assists,ok
Tristan da Silva,7,2,29%,1,4,0,points|rebounds|assists|steals,ok
Pelle Larsson,7,2,29%,1,4,0,points|rebounds|assists|steals,ok
Rudy Gobert,7,2,29%,2,3,0,points|rebounds|assists|steals|blocks,ok
Santi Aldama,7,3,43%,0,4,0,points|rebounds|assists,ok
Ausar Thompson,6,3,50%,0,3,0,points|rebounds|assists|steals,ok
Tobias Harris,6,2,33%,0,2,2,points|rebounds|assists|steals,ok
Keon Ellis,6,0,0%,6,0,0,points|rebounds|assists|steals,ABSENT_FROM_ODDS
Moussa Diabate,6,3,50%,1,2,0,points|rebounds|assists|blocks,ok
Bub Carrington,6,3,50%,0,3,0,points|rebounds|assists,ok
Bilal Coulibaly,6,1,17%,2,3,0,points|rebounds|assists|steals,ok
Will Riley,6,2,33%,2,2,0,points|rebounds|assists|steals,ok
Tre Johnson,6,2,33%,0,4,0,points|rebounds|assists,ok
Mikal Bridges,6,4,67%,0,2,0,points|rebounds|assists|steals,ok
Danny Wolf,6,0,0%,6,0,0,points|rebounds|assists,ABSENT_FROM_ODDS
Devin Vassell,6,3,50%,0,3,0,points|rebounds|assists,ok
Lu Dort,6,0,0%,6,0,0,points|rebounds|assists|steals,ABSENT_FROM_ODDS
Collin Sexton,6,1,17%,3,2,0,points|rebounds|assists|steals,ok
Jaylin Williams,6,1,17%,0,5,0,points|rebounds|assists,ok
Guerschon Yabusele,6,2,33%,1,3,0,points|rebounds|assists,ok
Herb Jones,6,0,0%,6,0,0,points|rebounds|assists|steals,ABSENT_FROM_ODDS
Saddiq Bey,6,2,33%,0,4,0,points|rebounds|assists,ok
Royce O'Neale,6,0,0%,6,0,0,points|rebounds|assists,ABSENT_FROM_ODDS
Duncan Robinson,5,1,20%,1,3,0,points|rebounds|assists,ok
Jaylon Tyson,5,2,40%,1,2,0,points|rebounds|assists,ok
Sam Merrill,5,2,40%,0,2,1,points|rebounds|assists,ok
Khris Middleton,5,2,40%,0,3,0,points|rebounds|assists,ok
PJ Washington,5,0,0%,5,0,0,points|rebounds|assists,ABSENT_FROM_ODDS
Justin Champagnie,5,2,40%,0,3,0,points|rebounds|assists,ok
Josh Hart,5,2,40%,0,3,0,points|rebounds|assists,ok
Jakob Poeltl,5,3,60%,0,2,0,points|rebounds|assists,ok
Nic Claxton,5,3,60%,0,2,0,points|rebounds|assists,ok
Davion Mitchell,5,3,60%,0,2,0,points|rebounds|assists,ok
Noah Clowney,5,2,40%,1,2,0,points|rebounds|assists,ok
Day'Ron Sharpe,5,3,60%,0,2,0,points|rebounds|assists,ok
Nolan Traore,5,3,60%,0,2,0,points|rebounds|assists,ok
Dylan Harper,5,2,40%,0,3,0,points|rebounds|assists,ok
Julian Champagnie,5,2,40%,0,3,0,points|rebounds|assists,ok
Alex Caruso,5,2,40%,2,1,0,points|rebounds|assists|steals,ok
Tre Jones,5,1,20%,0,4,0,points|rebounds|assists,ok
