portfolioRank,tier,site,flexType,cardEV,compositeScore,correlationScore,diversity,correlation,liquidity,kellyFrac,kellyStake,fragile,fragileEvShifted,winProbCash,avgProb,avgLegEV,avgEdge,breakevenGap,statBalance,edgeCluster,leg1Id,leg2Id,leg3Id,leg4Id,leg5Id,leg6Id,runTimestamp
1,1,PP,5P,1.069601,0.877340,97,0.8500,0.0350,1.0000,0.056295,19.70,N,0.763254,0.103480,0.636265,0.136265,0.136265,0.086985,"3PM=2|AST=1|PTS=1|REB=1",CHA_REB,prizepicks-10699821-threes-2.5-over,prizepicks-10706832-threes-0.5-over,prizepicks-10732191-assists-0.5-over,prizepicks-10731607-points-9.5-over,prizepicks-10704032-rebounds-2.5-over,,2026-03-19T20:03:02 ET
2,1,PP,4P,0.768782,0.691904,100,0.9000,0.0000,1.0000,0.085420,29.90,N,0.560303,0.176878,0.649073,0.149073,0.149073,0.086731,"3PM=2|AST=1|PTS=1",,prizepicks-10699821-threes-2.5-over,prizepicks-10706832-threes-0.5-over,prizepicks-10732191-assists-0.5-over,prizepicks-10731607-points-9.5-over,,,2026-03-19T20:03:02 ET
3,1,PP,6P,1.167964,0.651724,93,0.6000,0.0700,1.0000,0.032547,11.39,N,0.797974,0.058346,0.624194,0.124194,0.124194,0.077604,"3PM=2|AST=1|PTS=1|REB=2",CHA_REB,prizepicks-10699821-threes-2.5-over,prizepicks-10706832-threes-0.5-over,prizepicks-10732191-assists-0.5-over,prizepicks-10731607-points-9.5-over,prizepicks-10704032-rebounds-2.5-over,prizepicks-10699971-rebounds-3.5-over,2026-03-19T20:03:02 ET
