pick_player_key,suggested_sgo_form,occurrence_count,action
"nickeil alexander-walker","tyrese maxey",10,ADD_TO_ALIASES
"shai gilgeous-alexander","",17,ABSENT_FROM_ODDS_NO_FIX
"lu dort","",5,ABSENT_FROM_ODDS_NO_FIX
"herb jones","",5,ABSENT_FROM_ODDS_NO_FIX
"jett howard","",4,ABSENT_FROM_ODDS_NO_FIX
"corey kispert","",4,ABSENT_FROM_ODDS_NO_FIX
"jock landale","",4,ABSENT_FROM_ODDS_NO_FIX
"adem bona","",4,ABSENT_FROM_ODDS_NO_FIX
"jonathan isaac","",3,ABSENT_FROM_ODDS_NO_FIX
"zaccharie risacher","",3,ABSENT_FROM_ODDS_NO_FIX
"jaxson hayes","",3,ABSENT_FROM_ODDS_NO_FIX
"daeqwon plowden","",3,ABSENT_FROM_ODDS_NO_FIX
"donovan clingan","",2,ABSENT_FROM_ODDS_NO_FIX
"kris murray","",2,ABSENT_FROM_ODDS_NO_FIX
"klay thompson","",2,ABSENT_FROM_ODDS_NO_FIX
"isaiah joe","",2,ABSENT_FROM_ODDS_NO_FIX
"aj johnson","",2,ABSENT_FROM_ODDS_NO_FIX
"jared mccain","",2,ABSENT_FROM_ODDS_NO_FIX
"brook lopez","",2,ABSENT_FROM_ODDS_NO_FIX
"derrick jones jr.","",2,ABSENT_FROM_ODDS_NO_FIX
"trey murphy iii","",2,ABSENT_FROM_ODDS_NO_FIX
"precious achiuwa","",2,ABSENT_FROM_ODDS_NO_FIX
"jalen suggs","",1,ABSENT_FROM_ODDS_NO_FIX
"caris levert","",1,ABSENT_FROM_ODDS_NO_FIX
"tristan da silva","",1,ABSENT_FROM_ODDS_NO_FIX
"daniss jenkins","",1,ABSENT_FROM_ODDS_NO_FIX
"jonathan kuminga","",1,ABSENT_FROM_ODDS_NO_FIX
"jerami grant","",1,ABSENT_FROM_ODDS_NO_FIX
"jrue holiday","",1,ABSENT_FROM_ODDS_NO_FIX
"cj mccollum","",1,ABSENT_FROM_ODDS_NO_FIX
"jalen johnson","",1,ABSENT_FROM_ODDS_NO_FIX
