Sport,site,flexType,structureId,Site-Leg,Player-Prop-Line,cardEv,winProbCash,winProbAny,avgProb,avgEdgePct,leg1Id,leg2Id,leg3Id,leg4Id,leg5Id,leg6Id,leg7Id,leg8Id,runTimestamp,kellyStake,kellyFrac,bestBetScore,bestBetTier,rawCardEv,divAdjustedScore,divPenaltyTotal
NBA,UD,6P,UD_6P_STD,ud-6p,Julian Champagnie PTS o5.5 | Kevin Huerter PTS o6.5 | Donte DiVincenzo PTS o7.5 | Sam Hauser PTS o6.5 | Ajay Mitchell 3PM o0.5 | Jaime Jaquez Jr. 3PM o0.5,6.998042545113914,0.14287934004162225,0.14287934004162225,0.7265506799001447,45.31013598002892,underdog-802ef3bf-4167-44f3-99d3-1e12c7da0a3d-points-5.5-under,underdog-ecbe94de-f9eb-4d0f-9d00-a57285fa5b6b-points-6.5-under,underdog-5a89f25e-2c08-4271-9761-a2f8d0c95f28-points-7.5-under,underdog-7ef17fc1-e663-48d8-bc21-9a055152d4e0-points-6.5-under,underdog-d83f0300-6edc-4287-98c3-dbb72fc1cee3-threes-0.5-under,underdog-1965b8c8-ff52-44ca-bd8e-f73037724aa1-threes-0.5-under,,,2026-03-30T18:00:59 ET,24.5,0.25,0.013756999942798227,strong,6.998042545113914,,
NBA,UD,6P,UD_6P_STD,ud-6p,Julian Champagnie PTS o5.5 | Kevin Huerter PTS o6.5 | Donte DiVincenzo PTS o7.5 | Sam Hauser PTS o6.5 | Dennis Schroder 3PM o0.5 | De'Aaron Fox REB o2.5,6.959283402114329,0.14701272073960572,0.14701272073960572,0.7295521749393384,45.91043498786765,underdog-802ef3bf-4167-44f3-99d3-1e12c7da0a3d-points-5.5-under,underdog-ecbe94de-f9eb-4d0f-9d00-a57285fa5b6b-points-6.5-under,underdog-5a89f25e-2c08-4271-9761-a2f8d0c95f28-points-7.5-under,underdog-7ef17fc1-e663-48d8-bc21-9a055152d4e0-points-6.5-under,underdog-eaf830a2-8f4e-4216-ba99-536e989df814-threes-0.5-under,underdog-ae2eb8a0-71f4-44a0-b3e4-ff70f82308bc-rebounds-2.5-under,,,2026-03-30T18:00:59 ET,24.5,0.25,0.014342513160548574,strong,6.959283402114329,,
NBA,UD,6P,UD_6P_STD,ud-6p,Julian Champagnie PTS o5.5 | Kevin Huerter PTS o6.5 | Donte DiVincenzo PTS o7.5 | Sam Hauser PTS o6.5 | Cooper Flagg 3PM o0.5 | De'Aaron Fox REB o2.5,6.945513536093069,0.15030898912800067,0.15030898912800067,0.7319614704106424,46.37197213248433,underdog-802ef3bf-4167-44f3-99d3-1e12c7da0a3d-points-5.5-under,underdog-ecbe94de-f9eb-4d0f-9d00-a57285fa5b6b-points-6.5-under,underdog-5a89f25e-2c08-4271-9761-a2f8d0c95f28-points-7.5-under,underdog-7ef17fc1-e663-48d8-bc21-9a055152d4e0-points-6.5-under,underdog-b3e1084b-e108-4009-8512-1fac95cdc6ba-threes-0.5-under,underdog-ae2eb8a0-71f4-44a0-b3e4-ff70f82308bc-rebounds-2.5-under,,,2026-03-30T18:00:59 ET,24.5,0.25,0.014811514042099265,strong,6.945513536093069,,
NBA,UD,6P,UD_6P_STD,ud-6p,Julian Champagnie PTS o5.5 | Kevin Huerter PTS o6.5 | Donte DiVincenzo PTS o7.5 | Sam Hauser PTS o6.5 | Dennis Schroder 3PM o0.5 | Jaime Jaquez Jr. 3PM o0.5,6.91015860093238,0.142422027995583,0.142422027995583,0.7262056490807528,45.24112981615053,underdog-802ef3bf-4167-44f3-99d3-1e12c7da0a3d-points-5.5-under,underdog-ecbe94de-f9eb-4d0f-9d00-a57285fa5b6b-points-6.5-under,underdog-5a89f25e-2c08-4271-9761-a2f8d0c95f28-points-7.5-under,underdog-7ef17fc1-e663-48d8-bc21-9a055152d4e0-points-6.5-under,underdog-eaf830a2-8f4e-4216-ba99-536e989df814-threes-0.5-under,underdog-1965b8c8-ff52-44ca-bd8e-f73037724aa1-threes-0.5-under,,,2026-03-30T18:00:59 ET,24.5,0.25,0.013692083596608643,strong,6.91015860093238,,
NBA,UD,6P,UD_6P_STD,ud-6p,Julian Champagnie PTS o5.5 | Kevin Huerter PTS o6.5 | Donte DiVincenzo PTS o7.5 | Sam Hauser PTS o6.5 | Cooper Flagg 3PM o0.5 | Jaime Jaquez Jr. 3PM o0.5,6.89647372270417,0.14561536545870274,0.14561536545870274,0.7286149445520568,45.70266696076721,underdog-802ef3bf-4167-44f3-99d3-1e12c7da0a3d-points-5.5-under,underdog-ecbe94de-f9eb-4d0f-9d00-a57285fa5b6b-points-6.5-under,underdog-5a89f25e-2c08-4271-9761-a2f8d0c95f28-points-7.5-under,underdog-7ef17fc1-e663-48d8-bc21-9a055152d4e0-points-6.5-under,underdog-b3e1084b-e108-4009-8512-1fac95cdc6ba-threes-0.5-under,underdog-1965b8c8-ff52-44ca-bd8e-f73037724aa1-threes-0.5-under,,,2026-03-30T18:00:59 ET,24.5,0.25,0.01414189742285018,strong,6.89647372270417,,
NBA,UD,6P,UD_6P_STD,ud-6p,Julian Champagnie PTS o5.5 | Kevin Huerter PTS o6.5 | Donte DiVincenzo PTS o7.5 | Sam Hauser PTS o6.5 | De'Aaron Fox REB o2.5 | Rayan Rupert 3PM o0.5,6.492165266194744,0.14405627658107975,0.14405627658107975,0.7273912624519396,45.47825249038792,underdog-802ef3bf-4167-44f3-99d3-1e12c7da0a3d-points-5.5-under,underdog-ecbe94de-f9eb-4d0f-9d00-a57285fa5b6b-points-6.5-under,underdog-5a89f25e-2c08-4271-9761-a2f8d0c95f28-points-7.5-under,underdog-7ef17fc1-e663-48d8-bc21-9a055152d4e0-points-6.5-under,underdog-ae2eb8a0-71f4-44a0-b3e4-ff70f82308bc-rebounds-2.5-under,underdog-8119fc64-a04b-4f56-a226-bf3e316cd3b9-threes-0.5-under,,,2026-03-30T18:00:59 ET,24.5,0.25,0.013921783903256442,strong,6.492165266194744,,
NBA,UD,6P,UD_6P_STD,ud-6p,Julian Champagnie PTS o5.5 | Kevin Huerter PTS o6.5 | Donte DiVincenzo PTS o7.5 | Sam Hauser PTS o6.5 | De'Aaron Fox REB o2.5 | Zaccharie Risacher 3PM o0.5,6.492165266194744,0.14405627658107975,0.14405627658107975,0.7273912624519396,45.47825249038792,underdog-802ef3bf-4167-44f3-99d3-1e12c7da0a3d-points-5.5-under,underdog-ecbe94de-f9eb-4d0f-9d00-a57285fa5b6b-points-6.5-under,underdog-5a89f25e-2c08-4271-9761-a2f8d0c95f28-points-7.5-under,underdog-7ef17fc1-e663-48d8-bc21-9a055152d4e0-points-6.5-under,underdog-ae2eb8a0-71f4-44a0-b3e4-ff70f82308bc-rebounds-2.5-under,underdog-dc2104e3-69ce-4f77-a7b5-89487939fc8c-threes-0.5-under,,,2026-03-30T18:00:59 ET,24.5,0.25,0.013921783903256442,strong,6.492165266194744,,
NBA,UD,6P,UD_6P_STD,ud-6p,Julian Champagnie PTS o5.5 | Kevin Huerter PTS o6.5 | Donte DiVincenzo PTS o7.5 | Sam Hauser PTS o6.5 | Ajay Mitchell 3PM o0.5 | Pelle Larsson 3PM o0.5,6.427139321785395,0.1422431230041022,0.1422431230041022,0.726088374481395,45.21767489627897,underdog-802ef3bf-4167-44f3-99d3-1e12c7da0a3d-points-5.5-under,underdog-ecbe94de-f9eb-4d0f-9d00-a57285fa5b6b-points-6.5-under,underdog-5a89f25e-2c08-4271-9761-a2f8d0c95f28-points-7.5-under,underdog-7ef17fc1-e663-48d8-bc21-9a055152d4e0-points-6.5-under,underdog-d83f0300-6edc-4287-98c3-dbb72fc1cee3-threes-0.5-under,underdog-9c7fa5dc-dae1-486b-a03b-53c331d4e03c-threes-0.5-under,,,2026-03-30T18:00:59 ET,24.5,0.25,0.01366779449599069,strong,6.427139321785395,,
NBA,UD,6P,UD_6P_STD,ud-6p,Julian Champagnie PTS o5.5 | Kevin Huerter PTS o6.5 | Donte DiVincenzo PTS o7.5 | Sam Hauser PTS o6.5 | Ajay Mitchell 3PM o0.5 | Naji Marshall 3PM o0.5,6.426740838165035,0.13971804899925191,0.13971804899925191,0.7242535361693991,44.95826831952977,underdog-802ef3bf-4167-44f3-99d3-1e12c7da0a3d-points-5.5-under,underdog-ecbe94de-f9eb-4d0f-9d00-a57285fa5b6b-points-6.5-under,underdog-5a89f25e-2c08-4271-9761-a2f8d0c95f28-points-7.5-under,underdog-7ef17fc1-e663-48d8-bc21-9a055152d4e0-points-6.5-under,underdog-d83f0300-6edc-4287-98c3-dbb72fc1cee3-threes-0.5-under,underdog-75c320c9-c336-46c9-8d65-3bb6ad4195d2-threes-0.5-under,,,2026-03-30T18:00:59 ET,24.5,0.25,0.013348148263977849,strong,6.426740838165035,,
NBA,UD,6P,UD_6P_STD,ud-6p,Julian Champagnie PTS o5.5 | Kevin Huerter PTS o6.5 | Donte DiVincenzo PTS o7.5 | Sam Hauser PTS o6.5 | Dennis Schroder 3PM o0.5 | Pelle Larsson 3PM o0.5,6.345528565915757,0.1417878472896632,0.1417878472896632,0.725743343662003,45.14866873240059,underdog-802ef3bf-4167-44f3-99d3-1e12c7da0a3d-points-5.5-under,underdog-ecbe94de-f9eb-4d0f-9d00-a57285fa5b6b-points-6.5-under,underdog-5a89f25e-2c08-4271-9761-a2f8d0c95f28-points-7.5-under,underdog-7ef17fc1-e663-48d8-bc21-9a055152d4e0-points-6.5-under,underdog-eaf830a2-8f4e-4216-ba99-536e989df814-threes-0.5-under,underdog-9c7fa5dc-dae1-486b-a03b-53c331d4e03c-threes-0.5-under,,,2026-03-30T18:00:59 ET,24.5,0.25,0.013603256663567563,strong,6.345528565915757,,
