Sport,site,flexType,Site-Leg,Player-Prop-Line,cardEv,winProbCash,winProbAny,avgProb,avgEdgePct,breakevenGap,leg1Id,leg2Id,leg3Id,leg4Id,leg5Id,leg6Id,kellyRawFraction,kellyCappedFraction,kellyFinalFraction,kellyStake,kellyRiskAdjustment,efficiencyScore,portfolioRank,runTimestamp,bestBetScore,bestBetTier,rawCardEv,divAdjustedScore,divPenaltyTotal
NBA,PP,5F,pp-5f,Jaylen Brown PTS o25.5 | Dominick Barlow REB o2.5 | Baylor Scheierman Rebounds Assists o7.5 | De'Aaron Fox PTS o14.5 | Payton Pritchard PTS o16.5,0.5154525085202466,0.35303850313766016,0.6983323140600377,0.6091562525525889,10.91562525525889,0.06663087527902922,prizepicks-10957700-points-25.5-over,prizepicks-10958632-rebounds-2.5-over,prizepicks-10972458-rebounds_assists-7.5-over,prizepicks-10950659-points-14.5-over,prizepicks-10964932-points-16.5-over,,0.07129921860609395,0.07129921860609395,0.035,14.000000000000002,HALF_KELLY,,,2026-03-30T18:00:11 ET,0.009152385502204565,must_play,,,
NBA,PP,5P,pp-5p,Quentin Grimes PTS o7.5 | Kelly Oubre REB o3.5 | Davion Mitchell AST o5.5 | CJ McCollum PTS o14.5 | Luke Kennard Rebounds Assists o5.5,0.5154370125834,0.07577185062917,0.07577185062917,0.5968812896063117,9.68812896063116,0.04760101807616002,prizepicks-10959011-points-7.5-over,prizepicks-10955857-rebounds-3.5-over,prizepicks-10959150-assists-5.5-over,prizepicks-10957044-points-14.5-over,prizepicks-10964945-rebounds_assists-5.5-over,,0.01839462144303805,0.01839462144303805,0.009197310721519025,3.6789242886076097,HALF_KELLY,,,2026-03-30T18:00:11 ET,0.0017434577186425653,strong,,,
NBA,PP,3P,pp-3p,Chet Holmgren PTS o12.5 | Sam Hauser PTS o7.5 | VJ Edgecombe PTS o12.5,0.5138969585540001,0.252316159759,0.252316159759,0.6319115413783455,13.191154137834557,0.0815903343318366,prizepicks-10964179-points-12.5-over,prizepicks-10961908-points-7.5-over,prizepicks-10964974-points-12.5-over,,,,0.07567715884196981,0.07567715884196981,0.035,14.000000000000002,HALF_KELLY,,,2026-03-30T18:00:11 ET,0.008320853387118646,must_play,,,
NBA,PP,6F,pp-6f,Luke Kornet Rebounds Assists o7.5 | Luke Kennard Rebounds Assists o5.5 | Victor Wembanyama PTS o23.5 | Quentin Grimes PTS o7.5 | Collin Gillespie AST o5.5 | Chet Holmgren PTS o12.5,0.5128443356116703,0.21626804608819847,0.5211057461809474,0.5887743104162739,8.877431041627396,0.04671460992722953,prizepicks-10953212-rebounds_assists-7.5-over,prizepicks-10964945-rebounds_assists-5.5-over,prizepicks-10953322-points-23.5-over,prizepicks-10959011-points-7.5-over,prizepicks-10957436-assists-5.5-over,prizepicks-10964179-points-12.5-over,0.02092283773092199,0.02092283773092199,0.010461418865460995,4.184567546184398,HALF_KELLY,,,2026-03-30T18:00:11 ET,0.00407979741451789,strong,,,
NBA,PP,4F,pp-4f,Tyrese Maxey AST o6.5 | Jaylen Brown PTS o25.5 | Sam Hauser PTS o7.5 | De'Aaron Fox PTS o14.5,0.5095886377819996,0.5298907716721116,0.5298907716721116,0.6312642889787248,13.126428897872481,0.08094308193221589,prizepicks-10958676-assists-6.5-over,prizepicks-10957700-points-25.5-over,prizepicks-10961908-points-7.5-over,prizepicks-10950659-points-14.5-over,,,0.11918506656865463,0.1,0.035,14.000000000000002,QUARTER_KELLY,,,2026-03-30T18:00:11 ET,0.017388933844981885,must_play,,,
NBA,PP,4P,pp-4p,Victor Wembanyama PTS o23.5 | Luke Kennard Rebounds Assists o5.5 | CJ McCollum PTS o14.5 | Kelly Oubre REB o3.5,0.5093449553835205,0.15093449553835206,0.15093449553835206,0.623341748783284,12.334174878328403,0.06100042350023305,prizepicks-10953322-points-23.5-over,prizepicks-10964945-rebounds_assists-5.5-over,prizepicks-10957044-points-14.5-over,prizepicks-10955857-rebounds-3.5-over,,,0.03976777901618517,0.03976777901618517,0.019883889508092584,7.953555803237034,HALF_KELLY,,,2026-03-30T18:00:11 ET,0.004654131157855781,must_play,,,
NBA,PP,5F,pp-5f,Tyrese Maxey AST o6.5 | Chet Holmgren PTS o12.5 | Baylor Scheierman Rebounds Assists o7.5 | Sam Hauser PTS o7.5 | Luke Kennard Rebounds Assists o5.5,0.5091508809583574,0.35180254938208044,0.6971412737764108,0.6085093283951404,10.850932839514032,0.06598395112158073,prizepicks-10958676-assists-6.5-over,prizepicks-10964179-points-12.5-over,prizepicks-10972458-rebounds_assists-7.5-over,prizepicks-10961908-points-7.5-over,prizepicks-10964945-rebounds_assists-5.5-over,,0.07078329717585713,0.07078329717585713,0.035,14.000000000000002,HALF_KELLY,,,2026-03-30T18:00:11 ET,0.009066291360772586,must_play,,,
NBA,PP,5F,pp-5f,Baylor Scheierman Rebounds Assists o7.5 | Luke Kennard Rebounds Assists o5.5 | De'Aaron Fox PTS o14.5 | Onyeka Okongwu PTS o9.5 | Collin Sexton PTS o14.5,0.5082523102020757,0.3516261520921201,0.6969710008894682,0.6084328467172384,10.843284671723827,0.06590746944367876,prizepicks-10972458-rebounds_assists-7.5-over,prizepicks-10964945-rebounds_assists-5.5-over,prizepicks-10950659-points-14.5-over,prizepicks-10957214-points-9.5-over,prizepicks-10951536-points-14.5-over,,0.07072213814872107,0.07072213814872107,0.035,14.000000000000002,HALF_KELLY,,,2026-03-30T18:00:11 ET,0.009055358354749578,must_play,,,
NBA,PP,5P,pp-5p,Devin Vassell PTS o11.5 | Luke Kennard Rebounds Assists o5.5 | Jaylen Brown PTS o25.5 | Keon Ellis PTS o7.5 | Davion Mitchell AST o5.5,0.5078357722150979,0.07539178861075489,0.07539178861075489,0.5963067271131758,9.630672711317574,0.047026455583024096,prizepicks-10952425-points-11.5-over,prizepicks-10964945-rebounds_assists-5.5-over,prizepicks-10957700-points-25.5-over,prizepicks-10959186-points-7.5-over,prizepicks-10959150-assists-5.5-over,,0.0182151074422328,0.0182151074422328,0.0091075537211164,3.64302148844656,HALF_KELLY,,,2026-03-30T18:00:11 ET,0.001724424897923673,strong,,,
NBA,PP,6F,pp-6f,Paul George REB o5.5 | Dominick Barlow REB o2.5 | Chet Holmgren PTS o12.5 | VJ Edgecombe PTS o12.5 | Luke Kornet Rebounds Assists o7.5 | Luke Kennard Rebounds Assists o5.5,0.5063726719116639,0.21552751756826297,0.5200703527916978,0.588301055929538,8.830105592953801,0.04624135544049357,prizepicks-10961672-rebounds-5.5-over,prizepicks-10958632-rebounds-2.5-over,prizepicks-10964179-points-12.5-over,prizepicks-10964974-points-12.5-over,prizepicks-10953212-rebounds_assists-7.5-over,prizepicks-10964945-rebounds_assists-5.5-over,0.020765082214996514,0.020765082214996514,0.010382541107498257,4.153016442999303,HALF_KELLY,,,2026-03-30T18:00:11 ET,0.004044152818919306,strong,,,
NBA,PP,4F,pp-4f,Jaylen Brown PTS o25.5 | Devin Vassell PTS o11.5 | Victor Wembanyama PTS o23.5 | Keon Ellis PTS o7.5,0.5060046206720004,0.5290092230880512,0.5290092230880512,0.6307723836503076,13.077238365030757,0.08045117660379875,prizepicks-10957700-points-25.5-over,prizepicks-10952425-points-11.5-over,prizepicks-10953322-points-23.5-over,prizepicks-10959186-points-7.5-over,,,0.118582230137441,0.1,0.035,14.000000000000002,QUARTER_KELLY,,,2026-03-30T18:00:11 ET,0.017294949269055445,must_play,,,
NBA,PP,6F,pp-6f,Jaylen Brown PTS o25.5 | Collin Sexton PTS o14.5 | Jaime Jaquez PTS o11.5 | Luke Kennard Rebounds Assists o5.5 | Victor Wembanyama PTS o23.5 | Baylor Scheierman Rebounds Assists o7.5,0.503790533949358,0.2152317587688966,0.5196562301493969,0.5881359084473442,8.813590844734422,0.04607620795829981,prizepicks-10957700-points-25.5-over,prizepicks-10951536-points-14.5-over,prizepicks-10970692-points-11.5-over,prizepicks-10964945-rebounds_assists-5.5-over,prizepicks-10953322-points-23.5-over,prizepicks-10972458-rebounds_assists-7.5-over,0.02070982785757089,0.02070982785757089,0.010354913928785445,4.141965571514178,HALF_KELLY,,,2026-03-30T18:00:11 ET,0.0040310498994859745,strong,,,
