Sport,id,player,team,opponent,stat,line,league,book,overOdds,underOdds,trueProb,edge,legEv,runTimestamp,gameTime,IsWithin24h,leg_key,leg_label,confidenceDelta,lineMovDir,scoringWeight
NBA,prizepicks-10641685-points_assists-10.5,Oso Ighodaro,PHX,BOS,points_assists,10.5,NBA,DraftKings,-140,110,0.5,0.05308988764044945,0.05308988764044945,2026-03-16T21:19:08 ET,2026-03-16T19:42:00.000-04:00,FALSE,prizepicks:oso ighodaro:points_assists:10.5:over:game,Oso Ighodaro - Points Assists - 10.5,,,1.05
NBA,prizepicks-10625652-pra-14.5,Harrison Barnes,SAS,LAC,pra,14.5,NBA,BetMGM,-125,-105,0.5,0.051804568527918815,0.051804568527918815,2026-03-16T21:19:08 ET,2026-03-16T22:10:00.000-04:00,TRUE,prizepicks:harrison barnes:pra:14.5:over:game,Harrison Barnes - Pra - 14.5,,,1.05
NBA,prizepicks-10643955-assists-3.5,Kon Knueppel,CHA,MIA,assists,3.5,NBA,Underdog,-285,-125,0.5,0.051769487750556786,0.051769487750556786,2026-03-16T21:19:08 ET,2026-03-17T19:10:00.000-04:00,TRUE,prizepicks:kon knueppel:assists:3.5:over:game,Kon Knueppel - Assists - 3.5,,,1.05
NBA,prizepicks-10620124-points-12.5,Taylor Hendricks,MEM,CHI,points,12.5,NBA,FanDuel,-136,102,0.5,0.05140726817042607,0.05140726817042607,2026-03-16T21:19:08 ET,2026-03-16T20:10:00.000-04:00,FALSE,prizepicks:taylor hendricks:points:12.5:over:game,Taylor Hendricks - Points - 12.5,,,1
NBA,prizepicks-10644067-threes-4.5,Norman Powell,MIA,CHA,threes,4.5,NBA,Underdog,-191,-130,0.5,0.050804305283757345,0.050804305283757345,2026-03-16T21:19:08 ET,2026-03-17T19:10:00.000-04:00,TRUE,prizepicks:norman powell:threes:4.5:over:game,Norman Powell - Threes - 4.5,,,1.05
NBA,prizepicks-10616914-rebounds_assists-10.5,P.J. Washington,DAL,,rebounds_assists,10.5,NBA,PrizePicks_synth,-120.67039106145252,120.67039106145252,0.5,0.04917721518987345,0.04917721518987345,2026-03-16T21:19:08 ET,2026-03-16T20:10:00.000-04:00,FALSE,prizepicks:pj washington:rebounds_assists:10.5:over:game,P.J. Washington - Rebounds Assists - 10.5,,,1.05
NBA,prizepicks-10637886-rebounds_assists-7.5,Isaiah Jackson,LAC,,rebounds_assists,7.5,NBA,Underdog_synth,-120.67039106145252,120.67039106145252,0.5,0.04917721518987345,0.04917721518987345,2026-03-16T21:19:08 ET,2026-03-16T22:10:00.000-04:00,TRUE,prizepicks:isaiah jackson:rebounds_assists:7.5:over:game,Isaiah Jackson - Rebounds Assists - 7.5,,,1.05
NBA,prizepicks-10640615-points_assists-14.5,Marvin Bagley,DAL,,points_assists,14.5,NBA,PrizePicks_synth,-120.67039106145252,120.67039106145252,0.5,0.04917721518987345,0.04917721518987345,2026-03-16T21:19:08 ET,2026-03-16T20:11:00.000-04:00,FALSE,prizepicks:marvin bagley:points_assists:14.5:over:game,Marvin Bagley - Points Assists - 14.5,,,1.05
NBA,prizepicks-10641709-points_assists-9.5,Khris Middleton,DAL,,points_assists,9.5,NBA,PrizePicks_synth,-120.67039106145252,120.67039106145252,0.5,0.04917721518987345,0.04917721518987345,2026-03-16T21:19:08 ET,2026-03-16T20:11:00.000-04:00,FALSE,prizepicks:khris middleton:points_assists:9.5:over:game,Khris Middleton - Points Assists - 9.5,,,1.05
NBA,prizepicks-10643795-points-24.5,Bam Adebayo,MIA,CHA,points,24.5,NBA,Underdog,-159,-128,0.5,0.04783300674312718,0.04783300674312718,2026-03-16T21:19:08 ET,2026-03-17T19:10:00.000-04:00,TRUE,prizepicks:bam adebayo:points:24.5:over:game,Bam Adebayo - Points - 24.5,,,1.05
