Sport,id,player,team,stat,line,league,book,overOdds,underOdds,trueProb,edge,legEv,runTimestamp,gameTime,IsWithin24h,leg_key,leg_label,confidenceDelta,lineMovDir
NBA,prizepicks-10586738-points-6.5,Luke Kennard,LAL,points,6.5,NBA,FanDuel,-146,110,0.5546155867687436,0.05188480743030638,0.05188480743030638,2026-03-14T18:41:21 ET,2026-03-14T20:40:00.000-04:00,TRUE,prizepicks:luke kennard:points:6.5:over:game,Luke Kennard - Points - 6.5,,
NBA,prizepicks-10588507-points_assists-9.5,Sam Hauser,BOS,points_assists,9.5,NBA,PrizePicks_synth,-120.67039106145252,120.67039106145252,0.5468354430379747,0.04917721518987345,0.04917721518987345,2026-03-14T18:41:21 ET,2026-03-14T18:11:00.000-04:00,FALSE,prizepicks:sam hauser:points_assists:9.5:over:game,Sam Hauser - Points Assists - 9.5,,
NBA,prizepicks-10577184-threes-2.5,Jevon Carter,ORL,threes,2.5,NBA,Underdog,-212,-122,0.5414815057767406,0.04355558106557762,0.04355558106557762,2026-03-14T18:41:21 ET,2026-03-14T20:10:00.000-04:00,TRUE,prizepicks:jevon carter:threes:2.5:over:game,Jevon Carter - Threes - 2.5,,
NBA,prizepicks-10577697-points-23.5,Paolo Banchero,ORL,points,23.5,NBA,FanDuel,-138,104,0.5457146013272418,0.04342887126087972,0.04342887126087972,2026-03-14T18:41:21 ET,2026-03-14T20:10:00.000-04:00,TRUE,prizepicks:paolo banchero:points:23.5:over:game,Paolo Banchero - Points - 23.5,,
NBA,prizepicks-10581503-threes-1.5,Alex Sarr,WAS,threes,1.5,NBA,DraftKings,-135,105,0.5407914020517831,0.04283097215437227,0.04283097215437227,2026-03-14T18:41:21 ET,2026-03-14T18:11:00.000-04:00,FALSE,prizepicks:alex sarr:threes:1.5:over:game,Alex Sarr - Threes - 1.5,,
NBA,prizepicks-10581593-rebounds-7.5,Jaylen Brown,BOS,rebounds,7.5,NBA,theScore Bet,-140,105,0.5445920303605313,0.04236242884250471,0.04236242884250471,2026-03-14T18:41:21 ET,2026-03-14T18:11:00.000-04:00,FALSE,prizepicks:jaylen brown:rebounds:7.5:over:game,Jaylen Brown - Rebounds - 7.5,,
NBA,prizepicks-10594223-points-5.5,Bruce Brown,DEN,points,5.5,NBA,BetMGM,-135,100,0.5372585460687582,0.03539561876532031,0.03539561876532031,2026-03-14T18:41:21 ET,2026-03-14T20:40:00.000-04:00,TRUE,prizepicks:bruce brown:points:5.5:over:game,Bruce Brown - Points - 5.5,,
NBA,prizepicks-10581252-points-8.5,Will Riley,WAS,points,8.5,NBA,FanDuel,-130,-102,0.5313776378488768,0.031377637848876816,0.031377637848876816,2026-03-14T18:41:21 ET,2026-03-14T18:11:00.000-04:00,FALSE,prizepicks:will riley:points:8.5:over:game,Will Riley - Points - 8.5,,
NBA,prizepicks-10583111-points_assists-11.5,Davion Mitchell,MIA,points_assists,11.5,NBA,FanDuel,-132,100,0.5325416744572038,0.030914590734343605,0.030914590734343605,2026-03-14T18:41:21 ET,2026-03-14T20:10:00.000-04:00,TRUE,prizepicks:davion mitchell:points_assists:11.5:over:game,Davion Mitchell - Points Assists - 11.5,,
NBA,prizepicks-10586760-rebounds_assists-6.5,Kris Dunn,LAC,rebounds_assists,6.5,NBA,FanDuel,-122,-104,0.5324481178061281,0.030825711915821702,0.030825711915821702,2026-03-14T18:41:21 ET,2026-03-14T22:40:00.000-04:00,TRUE,prizepicks:kris dunn:rebounds_assists:6.5:over:game,Kris Dunn - Rebounds Assists - 6.5,,
