Sport,site,flexType,cardEv,winProbCash,winProbAny,avgProb,avgEdgePct,leg1Id,leg2Id,leg3Id,leg4Id,leg5Id,leg6Id,kellyRawFraction,kellyCappedFraction,kellyFinalFraction,kellyStake,kellyRiskAdjustment,efficiencyScore,portfolioRank,runTimestamp
NBA,PP,5P,0.3867552024749217,0.06933776012374608,0.06933776012374608,0.5864396838219168,8.643968382191677,prizepicks-10268481-steals-0.5,prizepicks-10273468-rebounds-4,prizepicks-10273470-rebounds-4,prizepicks-10260527-rebounds-5,prizepicks-10262619-assists-4,,0.014997018875976426,0.014997018875976426,0.007498509437988213,5.623882078491159,HALF_KELLY,,,2026-03-03T16:41:59 ET
NBA,PP,6F,0.3853504101967151,0.20148067623149835,0.5000148403971962,0.5786025961289041,7.860259612890406,prizepicks-10273468-rebounds-4,prizepicks-10268481-steals-0.5,prizepicks-10273491-assists-4,prizepicks-10268358-pra-15.5,prizepicks-10260527-rebounds-5,prizepicks-10273470-rebounds-4,0.0173319101543752,0.0173319101543752,0.0086659550771876,6.4994663078907,HALF_KELLY,,,2026-03-03T16:41:59 ET
NBA,PP,6P,0.385280476693753,0.036940812711833415,0.036940812711833415,0.5771238345779266,7.712383457792665,prizepicks-10273683-rebounds_assists-5,prizepicks-10260600-rebounds-5,prizepicks-10268481-steals-0.5,prizepicks-10273468-rebounds-4,prizepicks-10263717-rebounds_assists-8.5,prizepicks-10273470-rebounds-4,0.007706166165212892,0.007706166165212892,0.003853083082606446,2.8898123119548345,HALF_KELLY,,,2026-03-03T16:41:59 ET
NBA,PP,6P,0.3838408504475401,0.03690242267860107,0.03690242267860107,0.5769655444201732,7.696554442017323,prizepicks-10260527-rebounds-5,prizepicks-10251823-rebounds_assists-9,prizepicks-10273468-rebounds-4,prizepicks-10273491-assists-4,prizepicks-10268481-steals-0.5,prizepicks-10262619-assists-4,0.007672764476679122,0.007672764476679122,0.003836382238339561,2.8772866787546705,HALF_KELLY,,,2026-03-03T16:41:59 ET
NBA,PP,6F,0.3829438778291989,0.20119743121029598,0.49960209096990066,0.5784109217917465,7.841092179174648,prizepicks-10273683-rebounds_assists-5,prizepicks-10273491-assists-4,prizepicks-10268481-steals-0.5,prizepicks-10260527-rebounds-5,prizepicks-10273468-rebounds-4,prizepicks-10262619-assists-4,0.01726000306835506,0.01726000306835506,0.00863000153417753,6.472501150633148,HALF_KELLY,,,2026-03-03T16:41:59 ET
NBA,PP,5P,0.3796751192383081,0.0689837559619154,0.0689837559619154,0.5857665719664065,8.57665719664064,prizepicks-10273683-rebounds_assists-5,prizepicks-10273470-rebounds-4,prizepicks-10273468-rebounds-4,prizepicks-10262619-assists-4,prizepicks-10268481-steals-0.5,,0.014767681855675936,0.014767681855675936,0.007383840927837968,5.537880695878476,HALF_KELLY,,,2026-03-03T16:41:59 ET
NBA,PP,6F,0.3781413548073891,0.20063171297268445,0.498776702122215,0.5780416695826455,7.804166958264541,prizepicks-10273683-rebounds_assists-5,prizepicks-10268481-steals-0.5,prizepicks-10273468-rebounds-4,prizepicks-10268358-pra-15.5,prizepicks-10251823-rebounds_assists-9,prizepicks-10273470-rebounds-4,0.017121010692494554,0.017121010692494554,0.008560505346247277,6.420379009685457,HALF_KELLY,,,2026-03-03T16:41:59 ET
NBA,PP,6F,0.3757453557692991,0.20034923968631005,0.49836406336263533,0.5777717381203294,7.777173812032938,prizepicks-10273470-rebounds-4,prizepicks-10278810-pra-13.5,prizepicks-10273468-rebounds-4,prizepicks-10262619-assists-4,prizepicks-10273491-assists-4,prizepicks-10268481-steals-0.5,0.01701901395748873,0.01701901395748873,0.008509506978744365,6.382130234058274,HALF_KELLY,,,2026-03-03T16:41:59 ET
NBA,PP,6F,0.3745486700364158,0.2002080994857799,0.49815775804338336,0.5776847611241853,7.76847611241853,prizepicks-10260527-rebounds-5,prizepicks-10273470-rebounds-4,prizepicks-10273468-rebounds-4,prizepicks-10260600-rebounds-5,prizepicks-10268481-steals-0.5,prizepicks-10263717-rebounds_assists-8.5,0.01698607821562097,0.01698607821562097,0.008493039107810485,6.369779330857864,HALF_KELLY,,,2026-03-03T16:41:59 ET
NBA,PP,6F,0.37335285946370034,0.200067023574419,0.49795146215283304,0.577577933782787,7.7577933782786985,prizepicks-10268481-steals-0.5,prizepicks-10273468-rebounds-4,prizepicks-10273491-assists-4,prizepicks-10268845-points_assists-14.5,prizepicks-10273683-rebounds_assists-5,prizepicks-10273470-rebounds-4,0.016945578593699485,0.016945578593699485,0.008472789296849742,6.354591972637307,HALF_KELLY,,,2026-03-03T16:41:59 ET
NBA,PP,6F,0.36857835832512365,0.1995033627308984,0.4971263737023858,0.5772108115740707,7.721081157407072,prizepicks-10273470-rebounds-4,prizepicks-10273468-rebounds-4,prizepicks-10278810-pra-13.5,prizepicks-10268481-steals-0.5,prizepicks-10273491-assists-4,prizepicks-10273683-rebounds_assists-5,0.016806000761173123,0.016806000761173123,0.008403000380586561,6.302250285439921,HALF_KELLY,,,2026-03-03T16:41:59 ET
NBA,PP,6F,0.36738691571832316,0.199362608197895,0.49692012557380666,0.5770805680854679,7.708056808546797,prizepicks-10268481-steals-0.5,prizepicks-10273491-assists-4,prizepicks-10251823-rebounds_assists-9,prizepicks-10273470-rebounds-4,prizepicks-10260600-rebounds-5,prizepicks-10273468-rebounds-4,0.016756334625879676,0.016756334625879676,0.008378167312939838,6.283625484704879,HALF_KELLY,,,2026-03-03T16:41:59 ET
NBA,PP,6F,0.3661963451394201,0.1992219179269365,0.4967138871212428,0.5770190497453966,7.701904974539666,prizepicks-10273468-rebounds-4,prizepicks-10268481-steals-0.5,prizepicks-10265373-rebounds-5.5,prizepicks-10263717-rebounds_assists-8.5,prizepicks-10260527-rebounds-5,prizepicks-10273470-rebounds-4,0.016732848574901878,0.016732848574901878,0.008366424287450939,6.274818215588204,HALF_KELLY,,,2026-03-03T16:41:59 ET
NBA,PP,6P,0.3652388693314148,0.03640636984883773,0.03640636984883773,0.5757418744881371,7.574187448813713,prizepicks-10268481-steals-0.5,prizepicks-10273491-assists-4,prizepicks-10273468-rebounds-4,prizepicks-10268358-pra-15.5,prizepicks-10273470-rebounds-4,prizepicks-10260600-rebounds-5,0.0074125700638086964,0.0074125700638086964,0.0037062850319043482,2.779713773928261,HALF_KELLY,,,2026-03-03T16:41:59 ET
NBA,PP,6F,0.3614427726824547,0.19865979937156963,0.4958890308946397,0.5766084923945572,7.6608492394557235,prizepicks-10268481-steals-0.5,prizepicks-10260527-rebounds-5,prizepicks-10273468-rebounds-4,prizepicks-10273683-rebounds_assists-5,prizepicks-10268845-points_assists-14.5,prizepicks-10262619-assists-4,0.01657566253126261,0.01657566253126261,0.008287831265631306,6.215873449223479,HALF_KELLY,,,2026-03-03T16:41:59 ET
NBA,PP,6F,0.3602565544299148,0.19851943034168895,0.49568284143968727,0.5765215404809217,7.652154048092175,prizepicks-10273683-rebounds_assists-5,prizepicks-10273468-rebounds-4,prizepicks-10268481-steals-0.5,prizepicks-10268358-pra-15.5,prizepicks-10265373-rebounds-5.5,prizepicks-10273470-rebounds-4,0.01654227222026912,0.01654227222026912,0.00827113611013456,6.20335208260092,HALF_KELLY,,,2026-03-03T16:41:59 ET
