Sport,site,flexType,Site-Leg,Player-Prop-Line,cardEv,compositeScore,diversityScore,winProbCash,winProbAny,avgProb,avgEdgePct,modelEdge,leg1Id,leg2Id,leg3Id,leg4Id,leg5Id,leg6Id,leg7Id,leg8Id,runTimestamp,kellyStake,kellyFrac,bestBetScore,bestBetTier,DeepLink
NBA,UD,5P,ud-5p,Jabari Smith Jr. PTS o9.5 | LeBron James PTS o11.5 | Victor Wembanyama PTS o21.5 | Austin Reaves STL o1.5 | Kevin Durant STL o1.5,2.7092471499049684,1.0836988599619874,0.4,0.13557189875383657,0.13557189875383657,0.716953086763706,-4.9704296041564735,-0.11778387139959673,underdog-54f46dbb-028d-419e-8434-7703ae48dfd8-points-9.5,underdog-a089c5ef-529c-45d3-8f85-c9cbb84c8fb2-points-11.5,underdog-50ae1e5d-615b-4a7c-85dc-ac8876347bb4-points-21.5,underdog-e7f9ab69-35bb-4871-bab1-4335670bfc54-steals-1.5,underdog-348a0f38-07f8-45c0-89fd-e73f32dcbf0b-steals-1.5,,,,2026-03-16T21:19:25 ET,24.5,0.25,-0.1600395125262212,lottery,https://play.underdogfantasy.com/pick-em
NBA,UD,3P,ud-3p,Kevin Durant PTS o19.5 | Darius Garland PTS o15.5 | Austin Reaves STL o1.5,1.6249660002973974,1.0833106668649315,0.6666666666666666,0.3244014869888475,0.3244014869888475,0.7227726226332045,-5.111136068786492,-0.13080454685957044,underdog-79e5a344-67ee-4fc1-b291-a6593dbdadb4-points-19.5,underdog-622e590f-3f15-4f0e-9c78-74072179ef00-points-15.5,underdog-e7f9ab69-35bb-4871-bab1-4335670bfc54-steals-1.5,,,,,,2026-03-16T21:19:25 ET,24.5,0.25,-0.4145150352291676,lottery,https://play.underdogfantasy.com/pick-em
NBA,UD,3P,ud-3p,Kevin Durant PTS o19.5 | Julian Champagnie PTS o6.5 | Austin Reaves STL o1.5,1.5999663241040887,1.0666442160693923,0.6666666666666666,0.3244014869888475,0.3244014869888475,0.738144727695865,-5.133379753553579,-0.15818536092564067,underdog-79e5a344-67ee-4fc1-b291-a6593dbdadb4-points-19.5,underdog-9aaaf91b-7038-4048-93e7-9f7e1f889a28-points-6.5,underdog-e7f9ab69-35bb-4871-bab1-4335670bfc54-steals-1.5,,,,,,2026-03-16T21:19:25 ET,24.5,0.25,-0.41631900633280616,lottery,https://play.underdogfantasy.com/pick-em
NBA,UD,3P,ud-3p,LeBron James PTS o11.5 | Darius Garland PTS o15.5 | Jabari Smith Jr. STL o1.5,1.5790943551122831,1.0527295700748553,0.6666666666666666,0.2999121292066147,0.2999121292066147,0.709326050949064,-5.015772559802652,-0.12442554479428342,underdog-a089c5ef-529c-45d3-8f85-c9cbb84c8fb2-points-11.5,underdog-622e590f-3f15-4f0e-9c78-74072179ef00-points-15.5,underdog-1d30954b-4179-4bfa-8b98-7564d3ca78f9-steals-1.5,,,,,,2026-03-16T21:19:25 ET,24.5,0.25,-0.3760727570066314,lottery,https://play.underdogfantasy.com/pick-em
NBA,UD,3P,ud-3p,Kevin Durant PTS o19.5 | Darius Garland PTS o15.5 | LeBron James STL o1.5,1.5709959734371681,1.047330648958112,0.6666666666666666,0.3417114538558786,0.3417114538558786,0.733903002563137,-5.144428834795211,-0.1368988329888296,underdog-79e5a344-67ee-4fc1-b291-a6593dbdadb4-points-19.5,underdog-622e590f-3f15-4f0e-9c78-74072179ef00-points-15.5,underdog-d2b4dcf3-5a4e-415b-b9ce-5e9ece3eba2e-steals-1.5,,,,,,2026-03-16T21:19:25 ET,24.5,0.25,-0.43947756409899374,lottery,https://play.underdogfantasy.com/pick-em
NBA,UD,3P,ud-3p,LeBron James PTS o11.5 | Kevin Durant STL o1.5 | Jabari Smith Jr. STL o1.5,1.560217527373144,1.0401450182487626,0.6666666666666666,0.2605023939126113,0.2605023939126113,0.6759191067364979,-4.689677267757908,-0.10381979510856798,underdog-a089c5ef-529c-45d3-8f85-c9cbb84c8fb2-points-11.5,underdog-348a0f38-07f8-45c0-89fd-e73f32dcbf0b-steals-1.5,underdog-1d30954b-4179-4bfa-8b98-7564d3ca78f9-steals-1.5,,,,,,2026-03-16T21:19:25 ET,24.5,0.25,-0.3054180387321223,lottery,https://play.underdogfantasy.com/pick-em
NBA,UD,3P,ud-3p,LeBron James PTS o11.5 | Kevin Durant PTS o19.5 | Jabari Smith Jr. STL o1.5,1.5545315517302614,1.036354367820174,0.6666666666666666,0.2999121292066147,0.2999121292066147,0.7397673450645222,-5.212383888997562,-0.17746775404439563,underdog-a089c5ef-529c-45d3-8f85-c9cbb84c8fb2-points-11.5,underdog-79e5a344-67ee-4fc1-b291-a6593dbdadb4-points-19.5,underdog-1d30954b-4179-4bfa-8b98-7564d3ca78f9-steals-1.5,,,,,,2026-03-16T21:19:25 ET,24.5,0.25,-0.3908142875978784,lottery,https://play.underdogfantasy.com/pick-em
NBA,UD,3P,ud-3p,LeBron James PTS o11.5 | Julian Champagnie PTS o6.5 | Jabari Smith Jr. STL o1.5,1.5545315517302614,1.036354367820174,0.6666666666666666,0.2999121292066147,0.2999121292066147,0.7246981560117245,-5.038016244569739,-0.14994961541087876,underdog-a089c5ef-529c-45d3-8f85-c9cbb84c8fb2-points-11.5,underdog-9aaaf91b-7038-4048-93e7-9f7e1f889a28-points-6.5,underdog-1d30954b-4179-4bfa-8b98-7564d3ca78f9-steals-1.5,,,,,,2026-03-16T21:19:25 ET,24.5,0.25,-0.37774054472160584,lottery,https://play.underdogfantasy.com/pick-em
NBA,UD,3P,ud-3p,Kevin Durant PTS o19.5 | Stephon Castle PTS o12.5 | Jabari Smith Jr. STL o1.5,1.5545315517302614,1.036354367820174,0.6666666666666666,0.2999121292066147,0.2999121292066147,0.7143141952590408,-5.012600830330023,-0.1329122982743014,underdog-79e5a344-67ee-4fc1-b291-a6593dbdadb4-points-19.5,underdog-84e34d07-bd25-4468-b942-844dab4e3a01-points-12.5,underdog-1d30954b-4179-4bfa-8b98-7564d3ca78f9-steals-1.5,,,,,,2026-03-16T21:19:25 ET,24.5,0.25,-0.3758349469717805,lottery,https://play.underdogfantasy.com/pick-em
NBA,UD,3P,ud-3p,Kevin Durant PTS o19.5 | Bennedict Mathurin PTS o15.5 | Jabari Smith Jr. STL o1.5,1.5545315517302614,1.036354367820174,0.6666666666666666,0.2999121292066147,0.2999121292066147,0.7131308611778756,-4.99487981667784,-0.13070401037899054,underdog-79e5a344-67ee-4fc1-b291-a6593dbdadb4-points-19.5,underdog-b01e89aa-4eff-45ea-83c3-c1bbed04c216-points-15.5,underdog-1d30954b-4179-4bfa-8b98-7564d3ca78f9-steals-1.5,,,,,,2026-03-16T21:19:25 ET,24.5,0.25,-0.3745062602377491,lottery,https://play.underdogfantasy.com/pick-em
