Sport,id,player,team,stat,line,league,book,overOdds,underOdds,trueProb,edge,legEv,runTimestamp,gameTime,IsWithin24h,IsNonStandardOdds,leg_key,leg_label
NBA,underdog-6cbe3815-a6ae-4cbf-8886-d59a5c4a984e-points-21.5,Desmond Bane,ORL,points,21.5,NBA,FanDuel,-122,-108,0.5121218461590807,0.01212184615908074,0.01212184615908074,2026-03-14T18:41:43 ET,2026-03-15T00:00:00Z,TRUE,TRUE,underdog:desmond bane:points:21.5:over:game,Desmond Bane - Points - 21.5
NBA,underdog-04a703e1-3251-42cb-94fc-b1b4b6bf074e-points-19.5,Paolo Banchero,ORL,points,19.5,NBA,FanDuel,-360,250,0.7325581395348837,0.2325581395348837,0.2325581395348837,2026-03-14T18:41:43 ET,2026-03-15T00:00:00Z,TRUE,TRUE,underdog:paolo banchero:points:19.5:over:game,Paolo Banchero - Points - 19.5
NBA,underdog-6414adf0-fc0a-421b-a47e-7a34e348a0e6-points-17.5,Bam Adebayo,MIA,points,17.5,NBA,FanDuel,-230,168,0.6513102282333052,0.1513102282333052,0.1513102282333052,2026-03-14T18:41:43 ET,2026-03-15T00:00:00Z,TRUE,TRUE,underdog:bam adebayo:points:17.5:over:game,Bam Adebayo - Points - 17.5
NBA,underdog-a597c380-8128-41a5-b068-63a9a0259532-points-21.5,Tyler Herro,MIA,points,21.5,NBA,FanDuel,-115,-111,0.507431294474732,0.007431294474732009,0.007431294474732009,2026-03-14T18:41:43 ET,2026-03-15T00:00:00Z,TRUE,TRUE,underdog:tyler herro:points:21.5:over:game,Tyler Herro - Points - 21.5
NBA,underdog-9278e822-2fec-4227-b4d6-ae3b267ff58f-points-10.5,Wendell Carter Jr.,ORL,points,10.5,NBA,FanDuel,-128,100,0.5309989212247498,0.030998921224749787,0.030998921224749787,2026-03-14T18:41:43 ET,2026-03-15T00:00:00Z,TRUE,FALSE,underdog:wendell carter:points:10.5:over:game,Wendell Carter Jr. - Points - 10.5
NBA,underdog-5f78e532-d6d9-4f6c-ac5b-9075957cf139-points-9.5,Jaime Jaquez Jr.,MIA,points,9.5,NBA,FanDuel,-330,225,0.7138103161397671,0.2138103161397671,0.2138103161397671,2026-03-14T18:41:43 ET,2026-03-15T00:00:00Z,TRUE,FALSE,underdog:jaime jaquez:points:9.5:over:game,Jaime Jaquez Jr. - Points - 9.5
NBA,underdog-d5f134dc-11ee-4f9d-8115-1804128e525a-points-11.5,Tristan da Silva,ORL,points,11.5,NBA,FanDuel,-120,-106,0.5136754009058119,0.013675400905811874,0.013675400905811874,2026-03-14T18:41:43 ET,2026-03-15T00:00:00Z,TRUE,FALSE,underdog:tristan da silva:points:11.5:over:game,Tristan da Silva - Points - 11.5
NBA,underdog-4b1fa108-00be-4baf-9378-b43e9d82d0aa-points-5.5,Jevon Carter,ORL,points,5.5,NBA,theScore Bet,-125,-105,0.5203045685279188,0.020304568527918843,0.020304568527918843,2026-03-14T18:41:43 ET,2026-03-15T00:00:00Z,TRUE,TRUE,underdog:jevon carter:points:5.5:over:game,Jevon Carter - Points - 5.5
NBA,underdog-2612d73e-c0cf-47a5-ac4c-ea1a25150541-points-11.5,Pelle Larsson,MIA,points,11.5,NBA,FanDuel,-113,-113,0.5061599133531749,0.006159913353174895,0.006159913353174895,2026-03-14T18:41:43 ET,2026-03-15T00:00:00Z,TRUE,FALSE,underdog:pelle larsson:points:11.5:over:game,Pelle Larsson - Points - 11.5
NBA,underdog-6a3b2cfc-6b18-479e-bc31-87c5ec35ab74-points-31.5,Luka Doncic,LAL,points,31.5,NBA,FanDuel,-113,-113,0.5053092584027863,0.005309258402786288,0.005309258402786288,2026-03-14T18:41:43 ET,2026-03-15T00:30:00Z,TRUE,FALSE,underdog:luka doncic:points:31.5:over:game,Luka Doncic - Points - 31.5
